filename,correct_side
MFU_targetLEFT_02.jpg,gauche
MFU_targetLEFT_04.jpg,gauche
MFU_targetLEFT_08.jpg,gauche
MFU_targetLEFT_10.jpg,gauche
MFU_targetLEFT_11.jpg,gauche
MFU_targetLEFT_13.jpg,gauche
MFU_targetLEFT_14.jpg,gauche
MFU_targetLEFT_15.jpg,gauche
MFU_targetLEFT_16.jpg,gauche
MFU_targetLEFT_19.jpg,gauche
MFU_targetLEFT_20.jpg,gauche
MFU_targetRIGHT_00.jpg,droite
MFU_targetRIGHT_01.jpg,droite
MFU_targetRIGHT_03.jpg,droite
MFU_targetRIGHT_05.jpg,droite
MFU_targetRIGHT_06.jpg,droite
MFU_targetRIGHT_07.jpg,droite
MFU_targetRIGHT_09.jpg,droite
MFU_targetRIGHT_12.jpg,droite
MFU_targetRIGHT_17.jpg,droite
MFU_targetRIGHT_18.jpg,droite
MFU_targetRIGHT_21.jpg,droite
